港澳台,#genre#
HBO2台,http://hpull.kktv8.com/livekktv/128600025/playlist.m3u8
HTV3,https://livecdn.fptplay.net/sdb/htv3_hls.smil/chunklist_b2500000.m3u8
HTV4,https://livecdn.fptplay.net/sdb/htv4_hls.smil/chunklist_b2500000.m3u8
J2,http://120.84.96.59:808/hls/86/index.m3u8
J2,http://120.84.96.60:808/hls/86/index.m3u8
J2,http://120.84.96.61:808/hls/86/index.m3u8
J2,http://120.84.96.62:808/hls/86/index.m3u8
J2,http://120.84.96.63:808/hls/86/index.m3u8
J2,http://120.84.96.75:808/hls/86/index.m3u8
J2,http://120.84.96.78:808/hls/86/index.m3u8
J2,http://120.84.96.81:808/hls/86/index.m3u8
J2,http://120.84.96.90:808/hls/86/index.m3u8
J2,http://120.84.96.91:808/hls/86/index.m3u8
J2,http://120.84.96.92:808/hls/86/index.m3u8
J2,http://120.84.96.95:808/hls/86/index.m3u8
J2,https://cdn.hklive.tv/xxxx/82/index.m3u8
Pearl,http://120.84.96.57:808/hls/26/index.m3u8
Pearl,http://120.84.96.60:808/hls/26/index.m3u8
Pearl,http://120.84.96.61:808/hls/26/index.m3u8
Pearl,http://120.84.96.62:808/hls/26/index.m3u8
Pearl,http://120.84.96.63:808/hls/26/index.m3u8
Pearl,http://27.47.71.34:808/hls/37/index.m3u8
Pearl,http://27.47.71.51:808/hls/37/index.m3u8
TVB J2,https://p2.weizan.cn/1646497941/269664979080385265/live.m3u8
TVBS新闻台,http://38.64.72.148/hls/modn/list/4006/chunklist0.m3u8
TVBS新闻台,http://38.64.72.148:80/hls/modn/list/4006/chunklist0.m3u8
TVBS新闻台,http://38.64.72.148:80/hls/modn/list/4006/chunklist1.m3u8
TVB星河,http://113.64.147.102:808/hls/135/index.m3u8
TVB星河,http://113.64.147.31:808/hls/135/index.m3u8
TVB星河,http://113.64.147.39:808/hls/135/index.m3u8
ViuTV,https://cdn.hklive.tv/xxxx/99/index.m3u8
ViuTV6,https://cdn.hklive.tv/xxxx/96/index.m3u8
TVB影视,http://hms563nc1880172786.live.aikan.miguvideo.com/wh7f454c46tw3279865347_1298155843/PLTV/88888888/224/3221231733/1.m3u8
