# https://telegram-feiyangdigital.v1.mk/
# https://raw.githubusercontent.com/YanG-1989/m3u/main/Adult.m3u

Yoga,#genre#
Sex Yoga,https://play2.laoyacdn.com/20231012/eKSLfz0e/index.m3u8\
Nude Yoga,https://play1.laoyacdn.com/20230920/lhBW0XA9/index.m3u8
Tantric Yoga,https://play1.laoyacdn.com/20230823/GcTdBLhj/index.m3u8

無修,#genre#
1Pondo-001北山かんな,https://siwazywcdn2.com:5278/ribenwuma/VKk0aCEW/index.m3u8
1Pondo-001琴音はづき,https://siwazywcdn2.com:5278//rihanlunli/hQjXHzyD/index.m3u8
1Pondo-001与田知佳,https://siwazywcdn2.com:5278//rihanlunli/nuq0BR5o/index.m3u8
1PONDO-273水谷葵,https://fc.maa1808.com/g/pzvktykubw/pzvktykubw.m3u8
1PONDO-311水谷葵,https://fc.maa1808.com/c/vkitdntxfe/vkitdntxfe.m3u8
1PONDO-350西川結衣,https://fc.maa1808.com/h/fmrcohtytf/fmrcohtytf.m3u8
1PONDO-366水谷葵,https://fc.maa1808.com/c/wgucctcnwb/wgucctcnwb.m3u8
1PONDO-419西川結衣,https://fc.maa1808.com/b/ptytphcyus/ptytphcyus.m3u8
1PONDO-450西川結衣,https://fc.maa1808.com/f/omlrqipols/omlrqipols.m3u8
1PONDO-488姬川优奈,https://fc.maa1808.com/g/ibktjjcjvi/ibktjjcjvi.m3u8
1PONDO-518姬川优奈,https://fc.maa1808.com/h/uglvzhiqwb/uglvzhiqwb.m3u8
1PONDO-559北川レイラ,https://fc.maa1808.com/h/ibogkqnaah/ibogkqnaah.m3u8
1PONDO-597西川結衣,https://fc.maa1808.com/n/iqphtushdl/iqphtushdl.m3u8
1PONDO-613七瀬リナ,https://fc.maa1808.com/e/vwiedbxdkp/vwiedbxdkp.m3u8
1PONDO-618水谷葵,https://fc.maa1808.com/c/dyostrmwue/dyostrmwue.m3u8
1PONDO-764杏奈りか,https://fc.maa1808.com/g/rgihjwnolt/rgihjwnolt.m3u8
1PONDO-793杏奈りか,https://fc.maa1808.com/f/kpprkumlkh/kpprkumlkh.m3u8
ABP-408上原瑞穂,https://ckcdnz1.cdn2020.com/video/m3u8/2019/08/12/65be5abc/index.m3u8
ABP-588熊倉しょうこ,https://ckcdnc1.cdn2020.com/video/m3u8/2019/08/04/08e177af/index.m3u8
ABP-893鈴村あいり,https://t12.cdn2020.com:12337/video/m3u8/2021/10/27/fecff198/index.m3u8
ABP-911乙都さきの,https://t12.cdn2020.com:12337/video/m3u8/2021/10/28/2ec0d9db/index.m3u8
ABP-948野々浦暖,https://t12.cdn2020.com:12337/video/m3u8/2021/10/27/ef3cbd55/index.m3u8
Carib-002姬川優奈,https://fc.maa1808.com/c/fpsvmyqlej/fpsvmyqlej.m3u8
Carib-004西川結衣,https://fc.maa1808.com/f/xuyanbincr/xuyanbincr.m3u8
Carib-146西川結衣,https://fc.maa1808.com/c/nofftnyelj/nofftnyelj.m3u8
Carib-182西川結衣,https://fc.maa1808.com/f/tveemkomvr/tveemkomvr.m3u8
Carib-206星野香織,https://fc.maa1808.com/d/oduhcvyunk/oduhcvyunk.m3u8
Carib-239西川結衣,https://fc.maa1808.com/n/uvbinnjany/uvbinnjany.m3u8
Carib-288西川結衣,https://fc.maa1808.com/m/jtzgqcaxvw/jtzgqcaxvw.m3u8
Carib-311西川結衣,https://fc.maa1808.com/h/kmqtdxwjmz/kmqtdxwjmz.m3u8
Carib-337西川結衣,https://fc.maa1808.com/d/uuvombzvvi/uuvombzvvi.m3u8
Carib-339姬川優奈,https://fc.maa1808.com/d/pqkdrfftpw/pqkdrfftpw.m3u8
Carib-363西川結衣,https://fc.maa1808.com/b/ravxbmkthk/ravxbmkthk.m3u8
Carib-375姬川優奈,https://fc.maa1808.com/f/lpeelnsfwx/lpeelnsfwx.m3u8
Carib-375姬川優奈,https://fc.maa1808.com/n/qwpcalfmpo/qwpcalfmpo.m3u8
Carib-420丘咲エミリ,https://fc.maa1808.com/d/qzwkkcltyl/qzwkkcltyl.m3u8
